"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"95"	5.23261667376058e-70	0.755008283509307	0.507	0.226	8.09433473264024e-66	"1"	"Gm2a"
"96"	6.7332221132397e-66	0.810105076503285	0.412	0.165	1.04156212869705e-61	"1"	"Napsa"
"97"	3.18934817894455e-65	0.951743867829525	0.771	0.552	4.93360269800933e-61	"1"	"Crip1"
"98"	4.49037658891078e-63	0.762898740648994	0.363	0.134	6.94616354538608e-59	"1"	"Avpi1"
"99"	2.89478537032151e-62	0.894814979839613	0.694	0.483	4.47794348935034e-58	"1"	"Rps27l"
"100"	1.25626990958953e-40	0.791474926913595	0.295	0.117	1.94332392314404e-36	"1"	"Fabp5"
"101"	0	2.22372077666336	1	0.589	0	"2"	"Apoe"
"102"	0	2.01479587042759	0.572	0.033	0	"2"	"Pgf"
"103"	0	1.85850720750851	0.921	0.148	0	"2"	"Ms4a7"
"104"	0	1.79216103249704	0.997	0.277	0	"2"	"C1qa"
"105"	0	1.78658478632658	1	0.287	0	"2"	"C1qb"
"106"	0	1.70942572428163	0.986	0.24	0	"2"	"C1qc"
"107"	0	1.69622463667403	0.731	0.142	0	"2"	"Acp5"
"108"	0	1.60853182020661	0.564	0.046	0	"2"	"Dnase1l3"
"109"	0	1.58925831070667	0.959	0.256	0	"2"	"Cxcl16"
"110"	0	1.53306589610257	0.784	0.138	0	"2"	"Clec4n"
"111"	0	1.48568667887817	0.986	0.48	0	"2"	"Ctss"
"112"	0	1.45988483362196	0.926	0.235	0	"2"	"Aif1"
"113"	0	1.42593571582062	0.817	0.135	0	"2"	"Cd300c2"
"114"	0	1.41194975427114	0.964	0.489	0	"2"	"Ctsz"
"115"	0	1.26609760841307	1	0.75	0	"2"	"Cd74"
"116"	0	1.17889122268556	0.527	0.043	0	"2"	"Fcgr4"
"117"	0	1.16392882176016	0.427	0.02	0	"2"	"Zmynd15"
"118"	2.57340145230447e-307	1.29838186803606	0.986	0.389	3.98079470656979e-303	"2"	"Tyrobp"
"119"	4.59477199237321e-307	1.57131783355846	0.993	0.415	7.10765279500212e-303	"2"	"Lyz2"
"120"	1.68706558859514e-303	1.40556498093211	0.955	0.411	2.60972175899782e-299	"2"	"Cd81"
"121"	9.33062378639249e-302	1.22250839501828	1	0.975	1.44335419351705e-297	"2"	"Fth1"
"122"	8.78026032523585e-300	1.34945478831104	1	0.662	1.35821846971073e-295	"2"	"H2-Eb1"
"123"	5.40849124195633e-289	1.08279708036483	0.606	0.094	8.36639510218225e-285	"2"	"Mpeg1"
"124"	1.05153661567318e-288	1.07743529513783	0.554	0.071	1.62662199078484e-284	"2"	"Tmem37"
"125"	5.56834532317281e-288	1.25719346443946	0.985	0.39	8.61367338041602e-284	"2"	"Fcer1g"
"126"	5.65989035182994e-287	1.18919830253808	1	0.918	8.75528438524573e-283	"2"	"Ftl1"
"127"	7.06538699768528e-285	1.23147217722998	0.911	0.282	1.09294471467194e-280	"2"	"H2-DMb1"
"128"	1.27444749944505e-276	1.36184986972117	0.858	0.236	1.97144283689155e-272	"2"	"Cd14"
"129"	7.07000482073785e-271	1.11851491886611	0.276	0.007	1.09365904571994e-266	"2"	"H2-M2"
"130"	1.27383344837958e-268	1.23675173383486	0.999	0.706	1.97049296129838e-264	"2"	"H2-Ab1"
"131"	1.86787941913126e-268	1.17720223900582	0.999	0.654	2.88942267345415e-264	"2"	"H2-Aa"
"132"	3.2850470733581e-266	1.32835258742677	0.971	0.427	5.08163931777764e-262	"2"	"Lgals3"
"133"	8.02578267865593e-260	1.15782403363692	0.945	0.315	1.24150832256129e-255	"2"	"Cd63"
"134"	4.6996363739355e-259	1.05175475600899	0.75	0.165	7.26986750684083e-255	"2"	"Fcgr3"
"135"	4.49510399908707e-257	1.05914662988895	0.75	0.177	6.95347637618779e-253	"2"	"Gngt2"
"136"	2.79906603760402e-254	1.10053216375274	0.792	0.21	4.32987525356965e-250	"2"	"Cd68"
"137"	6.73725412594762e-252	1.12338027279473	0.979	0.445	1.04218584074284e-247	"2"	"Psap"
"138"	8.23478227339474e-250	1.03279713132979	0.466	0.06	1.27383846987143e-245	"2"	"Jaml"
"139"	1.5180216772434e-248	1.00992784846483	0.707	0.146	2.34822773252781e-244	"2"	"Mafb"
"140"	7.27654428865531e-245	1.21620745997954	0.644	0.131	1.12560863601209e-240	"2"	"Rgs1"
"141"	1.85701835281835e-242	1.01389969193996	0.977	0.615	2.87262168997471e-238	"2"	"Npc2"
"142"	1.1422925477161e-237	1.26555415324835	0.642	0.135	1.76701234206204e-233	"2"	"Il1r2"
"143"	3.5617511998726e-232	1.19763038886984	0.699	0.175	5.50967293108293e-228	"2"	"Plaur"
"144"	7.06326587938338e-219	1.07237119314632	0.927	0.45	1.09261659888181e-214	"2"	"Ftl1-ps1"
"145"	6.02448334979362e-217	1.03922234793257	0.877	0.347	9.31927329379574e-213	"2"	"Ctsh"
"146"	3.7100148325912e-214	1.12879408436071	0.851	0.319	5.73902194453533e-210	"2"	"Ninj1"
"147"	1.44545224282812e-211	1.08483936475479	0.848	0.301	2.23597007443081e-207	"2"	"Spi1"
"148"	3.07469975380846e-211	1.26081125292166	0.747	0.251	4.75625304916631e-207	"2"	"Basp1"
"149"	1.53441690327796e-206	1.06436068359341	0.663	0.167	2.37358950768068e-202	"2"	"Csf2rb"
"150"	2.05057585020539e-190	1.07190924886057	0.484	0.089	3.17203578268271e-186	"2"	"Slc7a11"
"151"	0	2.41742327374719	0.75	0.037	0	"3"	"Trbc2"
"152"	0	2.1530109672905	0.813	0.16	0	"3"	"Emb"
"153"	0	1.99957088003039	0.403	0.015	0	"3"	"Nkg7"
"154"	0	1.99644923529614	0.445	0.031	0	"3"	"Trbc1"
"155"	0	1.98374255414305	0.545	0.014	0	"3"	"Cd3g"
"156"	0	1.97642388346049	0.458	0.024	0	"3"	"Icos"
"157"	0	1.95488458776985	0.527	0.008	0	"3"	"Cd3d"
"158"	0	1.78347554464565	0.364	0.013	0	"3"	"Ikzf2"
"159"	0	1.73660243517972	0.424	0.008	0	"3"	"Trac"
"160"	0	1.54657624989507	0.406	0.021	0	"3"	"Lat"
"161"	7.77115969644497e-290	1.73779591687155	0.527	0.07	1.20212069344307e-285	"3"	"Tnfrsf18"
"162"	4.52550716568478e-285	1.20606177897442	0.275	0.006	7.00050703459778e-281	"3"	"Cd3e"
"163"	1.28294485554848e-284	1.26896196964982	0.357	0.02	1.98458739704794e-280	"3"	"Itk"
"164"	8.33886976280538e-277	1.33476598112734	0.272	0.006	1.28993976360836e-272	"3"	"Ms4a4b"
"165"	1.19741412904218e-235	3.38553077907175	0.381	0.04	1.85227991621535e-231	"3"	"Ccl5"
"166"	3.56548045948112e-227	1.55765682113304	0.539	0.101	5.51544172277135e-223	"3"	"Gm26740"
"167"	1.01873466024568e-222	1.23537056603467	0.294	0.018	1.57588064593405e-218	"3"	"Sh2d2a"
"168"	9.95095189142861e-212	1.12394349331168	0.336	0.03	1.53931274808509e-207	"3"	"Skap1"
"169"	1.55995790356104e-208	1.49475163644079	0.441	0.073	2.41309888101857e-204	"3"	"Ptpn22"
"170"	5.97261112263999e-204	1.2882168254538	0.278	0.019	9.23903214561181e-200	"3"	"Cd27"
"171"	3.69504529075986e-199	2.01841603139788	0.593	0.16	5.71586556027643e-195	"3"	"Ramp3"
"172"	2.05518129674671e-198	1.4550591425587	0.552	0.137	3.17915994793749e-194	"3"	"Ifngr1"
"173"	2.31172406465297e-168	1.1724616716396	0.309	0.037	3.57600595561169e-164	"3"	"Gimap4"
"174"	1.18280858364343e-164	1.01594001213343	0.927	0.648	1.82968659803802e-160	"3"	"Tmsb10"
"175"	1.21013896367348e-164	1.35369545771742	0.603	0.191	1.87196396290651e-160	"3"	"Vps37b"
"176"	2.57991607396517e-163	1.55016539503671	0.263	0.025	3.99087217481673e-159	"3"	"Tnfrsf9"
"177"	9.77122114105212e-156	1.34437400093648	0.451	0.101	1.51151019830935e-151	"3"	"Rora"
"178"	6.06119707902183e-155	1.39510819859367	0.684	0.309	9.37606576153888e-151	"3"	"H2-Q7"
"179"	2.31708555968763e-151	1.18998978893878	0.424	0.091	3.58429965228079e-147	"3"	"Hcst"
"180"	3.60732809026454e-142	1.22096061507201	0.528	0.158	5.58017582283021e-138	"3"	"Gimap1"
"181"	3.10668473420855e-138	1.25463658508726	0.362	0.071	4.80573061534721e-134	"3"	"Prr7"
"182"	4.10944720430451e-130	1.06472651183181	0.281	0.041	6.35690388033865e-126	"3"	"Thy1"
"183"	3.40460873951976e-123	1.17028706846958	0.493	0.152	5.26658925916311e-119	"3"	"Gimap6"
"184"	4.23401997391917e-123	1.36028870107723	0.476	0.147	6.54960549765557e-119	"3"	"Cd2"
"185"	1.39524838932269e-117	1.05012654410205	0.278	0.046	2.15830973344326e-113	"3"	"Rnf125"
"186"	4.53451211744715e-115	1.28185290842361	0.688	0.351	7.014436794479e-111	"3"	"Rgs2"
"187"	3.16113031764058e-113	1.08725367625394	0.291	0.054	4.88995248835821e-109	"3"	"Zeb1"
"188"	7.202419570617e-109	1.13725338366967	0.287	0.054	1.11414228337874e-104	"3"	"Gimap7"
"189"	2.59583072170963e-101	1.05420806726152	0.643	0.344	4.01549054341262e-97	"3"	"Prdx6"
